Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimaCotacao,ultimoDividendo
ABCP11,Shoppings,76.00,8.93%,8.61%,0.83,927491000,109864,1,13006.30,1328.65,10.22%,14.43%,76,0.55
AFHI11,Títulos e Val. Mob.,98.41,7.85%,14.85%,1.04,243726000,676546,0,0.00,0.00,0.00%,0.00%,98.41,1.3
AFOF11,Títulos e Val. Mob.,91.60,10.25%,12.20%,0.93,63313200,132323,0,0.00,0.00,0.00%,0.00%,91.6,1.06
AGRX11,Híbrido,10.32,2.34%,1.24%,0.71,34703300,29341,0,0.00,0.00,0.00%,0.00%,10.32,0.13
AIEC11,Lajes Corporativas,79.40,10.50%,10.88%,0.78,383104000,527663,2,16492.70,1990.31,12.07%,0.00%,79.4,0.73
ALMI11,Lajes Corporativas,900.00,0.64%,0.00%,0.40,100059000,41832,1,2227.01,145.68,6.54%,58.92%,900,0.37
ALZR11,Híbrido,119.12,6.60%,6.65%,1.13,751743000,1588180,13,5727.59,413.31,7.22%,0.00%,119.12,0.78
APTO11,Híbrido,9.03,6.93%,10.54%,0.90,36236100,108182,5,13493.50,442.40,3.28%,0.00%,9.03,0.11
ARCT11,Híbrido,100.81,10.64%,17.07%,1.01,373820000,1508940,9,383.70,21.81,5.68%,0.00%,100.81,1.02
ARRI11,Títulos e Val. Mob.,8.93,147.05%,17.55%,0.10,10521900,323919,0,0.00,0.00,0.00%,0.00%,8.93,0.11
ATSA11,Shoppings,84.98,0.49%,0.06%,0.94,148812000,895,1,4398.31,46.43,1.06%,21.57%,84.98,0.05
BARI11,Títulos e Val. Mob.,97.20,14.54%,15.08%,0.95,450443000,1047560,1,0.00,0.00,0.00%,0.00%,97.2,1.05
BBFI11B,Lajes Corporativas,1960.00,17.54%,16.43%,0.68,254800000,323762,3,2807.88,550.13,19.59%,0.00%,1960,26.31
BBFO11,Títulos e Val. Mob.,78.20,13.90%,11.35%,0.94,313105000,203072,0,0.00,0.00,0.00%,0.00%,78.2,0.76
BBGO11,Títulos e Val. Mob.,89.35,5.33%,3.92%,0.91,357861000,275335,0,0.00,0.00,0.00%,0.00%,89.35,0.75
BBPO11,Lajes Corporativas,90.97,11.66%,11.57%,0.91,1448210000,1425940,63,3703.60,494.26,13.35%,0.00%,90.97,0.92
BBRC11,Outros,103.40,10.80%,10.79%,0.97,164406000,91005,20,10219.30,1444.03,14.13%,0.00%,103.4,0.99
BCFF11,Títulos e Val. Mob.,71.69,9.37%,8.94%,0.93,1805610000,2785900,0,0.00,0.00,0.00%,0.00%,71.69,0.56
BCIA11,Títulos e Val. Mob.,90.20,10.66%,9.05%,0.88,335457000,338185,0,0.00,0.00,0.00%,0.00%,90.2,0.74
BCRI11,Títulos e Val. Mob.,104.29,12.11%,14.58%,0.98,652634000,975530,0,0.00,0.00,0.00%,0.00%,104.29,1.29
BICR11,Títulos e Val. Mob.,102.89,8.64%,7.80%,1.02,51445000,1403,0,0.00,0.00,0.00%,0.00%,102.89,0.82
BIME11,Híbrido,9.28,7.59%,9.08%,1.01,54247200,164156,2,1504.17,0.00,0.00%,0.00%,9.28,0.13
BLCA11,Lajes Corporativas,90.00,3.36%,3.41%,1.02,144000000,1173,1,45433.30,1446.26,3.18%,0.00%,90,0.56
BLCP11,Logística,88.97,5.53%,6.16%,0.80,204300000,200164,2,2944.21,199.89,6.79%,0.00%,88.97,0.52
BLMC11,Títulos e Val. Mob.,85.99,12.37%,15.16%,0.88,34353000,30093,0,0.00,0.00,0.00%,0.00%,85.99,1.17
BLMG11,Outros,83.78,9.33%,11.82%,0.92,319251000,479042,2,788.58,59.65,7.56%,0.00%,83.78,0.8
BLMO11,Lajes Corporativas,23998.00,-0.07%,0.65%,0.82,91120400,24090,1,14150.80,306.46,2.17%,0.00%,23998,37.45
BLMR11,Títulos e Val. Mob.,7.92,12.67%,10.97%,1.00,202290000,506822,0,0.00,0.00,0.00%,0.00%,7.92,0.08
BLUR11,Títulos e Val. Mob.,102.50,2.19%,5.97%,0.99,9225000,17336,0,0.00,0.00,0.00%,0.00%,102.5,1.03
BMLC11,Híbrido,100.00,8.15%,8.27%,0.92,99840500,93614,2,14086200.00,1270990.57,9.02%,0.00%,100,0.72
BNFS11,Outros,123.97,12.11%,12.68%,1.25,86779000,111102,18,8004.33,1184.91,14.80%,0.00%,123.97,1.48
BPFF11,Outros,69.50,12.29%,11.06%,0.92,312217000,534787,0,0.00,0.00,0.00%,0.00%,69.5,0.7
BPML11,Shoppings,62.67,4.75%,4.35%,0.50,269799000,67466,4,3400800.00,595082.46,17.50%,5.94%,62.67,0.15
BPRP11,Outros,99.01,10.13%,10.28%,0.91,133647000,304,1,5790.28,610.43,10.54%,0.00%,99.01,0.86
BRCO11,Logística,110.40,6.93%,6.89%,0.93,1631580000,3259040,11,3633.53,297.05,8.18%,0.00%,110.4,0.7
BRCR11,Híbrido,67.06,8.79%,8.58%,0.66,1786360000,2466910,9,11706.70,1150.78,9.83%,12.72%,67.06,0.47
BREV11,Híbrido,106.15,5.91%,6.27%,0.97,102668000,128718,14,17415.00,1257.24,7.22%,0.00%,106.15,0.61
BRIM11,Residencial,1030.22,6.85%,17.22%,1.04,127888000,93,4,9071.00,0.00,0.00%,0.00%,1030.22,27
BRLA11,Outros,145.87,5.48%,8.43%,0.92,333254000,40709,6,1093.95,60.31,5.51%,0.00%,145.87,1.09
BTAL11,Outros,101.47,7.34%,9.54%,0.95,607068000,1010440,9,1667.26,149.25,8.95%,0.00%,101.47,0.83
BTCR11,Títulos e Val. Mob.,96.09,10.45%,12.95%,1.01,462202000,919888,0,0.00,0.00,0.00%,0.00%,96.09,0.95
BTLG11,Híbrido,103.91,3.79%,8.30%,1.06,1738310000,4744600,9,4646.23,214.79,4.62%,6.25%,103.91,0.74
BTRA11,Outros,88.00,10.81%,11.43%,0.85,296081000,600761,6,4.36,0.43,9.98%,0.00%,88,0.7
BTWR11,Lajes Corporativas,105.49,4.18%,4.08%,0.95,85369900,3057,1,4200.49,187.19,4.46%,0.00%,105.49,0.38
CACR11,Híbrido,99.73,11.81%,16.21%,0.97,180255000,307575,0,0.00,0.00,0.00%,0.00%,99.73,1.54
CARE11,Híbrido,3.91,-2.12%,0.21%,0.48,139860000,55349,2,5463.02,10.16,0.19%,99.99%,3.91,0
CBOP11,Lajes Corporativas,60.49,14.73%,13.82%,0.79,85593400,53121,1,4979.89,410.92,8.25%,47.32%,60.49,0.49
CCRF11,Títulos e Val. Mob.,97.69,6.83%,13.29%,1.00,153559000,10955,0,0.00,0.00,0.00%,0.00%,97.69,1.1
CEOC11,Lajes Corporativas,60.23,9.47%,9.46%,0.67,109359000,61194,1,8232.25,930.00,11.30%,0.00%,60.23,0.5
CNES11,Lajes Corporativas,33.49,3.97%,3.80%,0.38,98770300,12465,1,1411.77,171.76,12.17%,54.60%,33.49,0.1
CORM11,Híbrido,81.00,13.59%,13.38%,0.91,82402600,1950,3,7566.86,706.47,9.34%,0.00%,81,0.77
CPFF11,Títulos e Val. Mob.,73.60,4.72%,9.82%,0.96,401104000,772759,0,0.00,0.00,0.00%,0.00%,73.6,0.62
CPTR11,Títulos e Val. Mob.,106.25,2.70%,4.81%,1.06,110104000,136405,0,0.00,0.00,0.00%,0.00%,106.25,1.75
CPTS11,Títulos e Val. Mob.,90.48,0.87%,14.07%,1.01,2875710000,7097650,0,0.00,0.00,0.00%,0.00%,90.48,1.1
CRFF11,Títulos e Val. Mob.,73.88,8.51%,8.38%,0.87,50980200,87621,0,0.00,0.00,0.00%,0.00%,73.88,0.61
CTXT11,Lajes Corporativas,12.79,-7.22%,0.00%,0.32,37126500,2895,1,795.35,22.93,2.88%,97.78%,12.79,0.01
CVBI11,Títulos e Val. Mob.,90.40,14.75%,15.28%,0.91,995325000,3077550,0,0.00,0.00,0.00%,0.00%,90.4,0.74
CXAG11,Outros,81.31,4.29%,4.69%,0.71,169988000,139915,32,2945.97,148.20,5.03%,0.00%,81.31,0.75
CXCE11B,Lajes Corporativas,39.78,15.26%,11.72%,0.61,68141200,28161,1,3207.72,569.86,17.77%,0.00%,39.78,0.36
CXCI11,Títulos e Val. Mob.,83.55,1.53%,4.63%,0.87,171923000,108067,0,0.00,0.00,0.00%,0.00%,83.55,0.83
CXCO11,Lajes Corporativas,78.99,10.67%,10.30%,0.82,309996000,202753,10,3332.58,375.86,11.28%,0.00%,78.99,0.72
CXRI11,Títulos e Val. Mob.,70.00,9.28%,8.85%,0.85,110303000,18555,0,0.00,0.00,0.00%,0.00%,70,0.55
CXTL11,Logística,385.00,-0.64%,4.81%,0.55,20634800,12466,3,830.92,78.81,9.48%,65.15%,385,14.53
DCRA11,Títulos e Val. Mob.,9.73,5.40%,8.21%,1.01,65569500,279029,0,0.00,0.00,0.00%,0.00%,9.73,0.13
DEVA11,Títulos e Val. Mob.,96.28,7.89%,16.26%,0.97,1338850000,3610800,0,0.00,0.00,0.00%,0.00%,96.28,1
DPRO11,Híbrido,100.98,2.53%,1.32%,1.03,23881800,12753,1,2814.47,38.50,1.37%,0.00%,100.98,1.35
DRIT11B,Lajes Corporativas,89.00,7.16%,7.51%,0.71,41231700,1730,6,8238.03,786.50,9.55%,6.27%,89,0.67
DVFF11,Híbrido,77.38,5.92%,10.26%,0.85,85191500,159456,0,0.00,0.00,0.00%,0.00%,77.38,0.75
EDFO11B,Lajes Corporativas,206.90,8.44%,8.80%,1.07,48828400,5787,1,137326.00,13291.13,9.68%,0.00%,206.9,1.68
EDGA11,Lajes Corporativas,20.49,7.18%,7.23%,0.31,78109000,51606,1,3103.47,417.64,13.46%,49.59%,20.49,0.09
EGAF11,Títulos e Val. Mob.,103.11,6.85%,8.56%,1.07,31099000,133761,0,0.00,0.00,0.00%,0.00%,103.11,5.29
EQIR11,Títulos e Val. Mob.,94.50,9.30%,10.26%,0.95,47486200,22273,0,0.00,0.00,0.00%,0.00%,94.5,1.1
ERPA11,Lajes Corporativas,132.00,0.01%,1.84%,1.14,66121700,83522,1,19524.70,344.18,1.76%,0.00%,132,0.7
EURO11,Logística,230.97,8.94%,8.77%,0.74,88677700,49734,7,750.81,73.94,9.85%,0.00%,230.97,1.75
EVBI11,Híbrido,99.00,8.12%,8.89%,0.99,138379000,98105,7,7112.53,521.75,7.34%,0.00%,99,0.75
EXES11,Títulos e Val. Mob.,103.05,3.00%,1.78%,1.02,22200600,6623,0,0.00,0.00,0.00%,0.00%,103.05,0.9
FAED11,Outros,152.80,10.20%,10.57%,0.71,98123300,90084,3,2581.19,282.88,10.96%,0.00%,152.8,1.54
FAMB11B,Lajes Corporativas,800.00,-14.38%,0.00%,0.26,83840000,14431,1,1427.31,0.00,0.00%,100.00%,800,9.16
FATN11,Híbrido,100.09,7.51%,9.39%,0.99,100090000,73278,22,25542.40,1951.33,7.64%,0.52%,100.09,0.86
FCFL11,Outros,125.42,7.64%,7.08%,1.20,435710000,217552,1,14042.70,1161.22,8.27%,0.00%,125.42,0.87
FEXC11,Títulos e Val. Mob.,88.49,12.12%,13.20%,0.96,540100000,987740,0,0.00,0.00,0.00%,0.00%,88.49,0.9
FGAA11,Híbrido,9.96,1.34%,8.98%,1.04,339612000,1793970,0,0.00,0.00,0.00%,0.00%,9.96,0.14
FIGS11,Shoppings,54.29,7.90%,7.83%,0.55,154726000,197008,2,2411.87,204.28,8.47%,15.45%,54.29,0.37
FIIB11,Híbrido,487.80,8.39%,8.19%,1.07,334143000,266738,11,597.93,56.58,9.46%,1.24%,487.8,3.55
FIIP11B,Híbrido,160.00,10.14%,9.71%,0.86,148346000,95299,7,2088.88,241.64,11.57%,0.00%,160,1.35
FLCR11,Títulos e Val. Mob.,97.10,16.89%,17.31%,0.97,61522900,176286,0,0.00,0.00,0.00%,0.00%,97.1,1
FLMA11,Híbrido,130.05,6.50%,6.77%,0.83,179556000,66592,1,10269.50,762.78,7.43%,0.00%,130.05,0.89
FLRP11,Shoppings,1579.99,6.66%,6.60%,0.92,103066000,14248,1,2377.32,182.93,7.69%,2.72%,1579.99,10
FMOF11,Lajes Corporativas,62.01,0.01%,0.23%,0.51,31501600,1625,2,1868.50,152.76,8.18%,37.84%,62.01,0.14
FPAB11,Lajes Corporativas,209.00,8.32%,8.35%,0.51,156750000,7810,2,3420.82,415.32,12.14%,26.75%,209,1.6
FPNG11,Lajes Corporativas,62.76,11.71%,10.60%,0.37,64162300,86,6,7163.82,1025.74,14.32%,23.54%,62.76,0.71
FTCE11B,Híbrido,2789.92,-4.95%,6.75%,1.00,2611020000,8877,69,2076.47,45.06,2.17%,5.91%,2789.92,37.63
FVPQ11,Shoppings,118.79,6.48%,6.87%,0.60,332630000,166125,1,5775.90,792.51,13.72%,7.40%,118.79,0.52
GALG11,Híbrido,9.68,104.69%,11.03%,0.10,55645800,689541,6,515.53,448.49,87.00%,0.00%,9.68,0.08
GAME11,Outros,9.47,3.73%,8.33%,0.98,195082000,244491,0,0.00,0.00,0.00%,0.00%,9.47,0.1
GCFF11,Títulos e Val. Mob.,71.86,11.42%,16.73%,0.85,24331700,41417,0,0.00,0.00,0.00%,0.00%,71.86,0.76
GCRA11,Títulos e Val. Mob.,101.48,4.12%,10.38%,1.03,160626000,197715,0,0.00,0.00,0.00%,0.00%,101.48,1.2
GCRI11,Títulos e Val. Mob.,94.95,12.30%,15.70%,0.98,110844000,119918,0,0.00,0.00,0.00%,0.00%,94.95,1.25
GGRC11,Logística,118.99,8.52%,8.62%,0.92,923175000,1403250,19,1127.12,92.64,8.22%,0.00%,118.99,0.9
GTLG11,Logística,98.00,5.68%,7.83%,1.05,702954000,200325,5,4033.87,183.65,4.55%,3.81%,98,0.7
GTWR11,Lajes Corporativas,82.80,10.47%,10.37%,0.85,993600000,788451,3,11059.60,1239.57,11.21%,0.00%,82.8,0.74
HAAA11,Lajes Corporativas,89.05,7.43%,7.35%,0.99,307668000,951,2,20972.30,1602.73,7.64%,16.93%,89.05,0.54
HABT11,Títulos e Val. Mob.,95.02,7.35%,16.38%,0.95,772207000,1851290,0,0.00,0.00,0.00%,0.00%,95.02,1.03
HBCR11,Outros,111.00,21.42%,8.91%,1.29,30192000,39012,4,2535.89,399.98,15.77%,0.00%,111,0.72
HBRH11,Híbrido,95.99,9.52%,9.45%,0.85,266104000,290693,5,8834.74,832.89,9.43%,2.83%,95.99,0.66
HCHG11,Outros,84.78,5.77%,11.50%,0.81,101736000,49187,0,0.00,0.00,0.00%,0.00%,84.78,1
HCRI11,Hospital,246.50,10.99%,9.87%,0.82,49300000,57188,1,8938.83,1236.70,13.84%,0.00%,246.5,4.98
HCTR11,Títulos e Val. Mob.,100.00,8.68%,17.89%,0.82,2208420000,8140860,0,0.00,0.00,0.00%,0.00%,100,1.1
HFOF11,Títulos e Val. Mob.,76.70,10.97%,9.36%,0.93,1764100000,1184230,0,0.00,0.00,0.00%,0.00%,76.7,0.62
HGAG11,Outros,103.50,-0.85%,0.31%,1.02,25694100,31765,0,0.00,0.00,0.00%,0.00%,103.5,0.32
HGBS11,Shoppings,209.80,6.33%,6.53%,0.97,2098000000,2039610,12,4002.03,263.37,6.58%,5.16%,209.8,1.3
HGCR11,Títulos e Val. Mob.,104.30,9.49%,12.26%,1.03,1529760000,3742770,0,0.00,0.00,0.00%,0.00%,104.3,1.2
HGFF11,Títulos e Val. Mob.,79.15,9.42%,8.92%,0.91,226654000,584405,0,0.00,0.00,0.00%,0.00%,79.15,0.65
HGIC11,Títulos e Val. Mob.,107.49,7.65%,11.58%,0.91,30999500,316560,0,0.00,0.00,0.00%,0.00%,107.49,1.05
HGLG11,Logística,174.00,6.66%,9.10%,1.19,4081460000,6472080,20,2856.45,207.24,7.26%,7.05%,174,1.1
HGPO11,Lajes Corporativas,262.40,6.11%,6.23%,0.98,460002000,462960,2,36169.40,2366.36,6.54%,4.04%,262.4,1.6
HGRE11,Lajes Corporativas,140.50,5.08%,7.61%,0.87,1660400000,2335280,19,8260.20,536.64,6.50%,24.75%,140.5,0.78
HGRU11,Híbrido,127.90,7.15%,7.56%,1.08,2354190000,4119940,84,4486.99,353.92,7.89%,0.00%,127.9,0.82
HLOG11,Logística,96.31,8.35%,7.96%,0.87,409318000,80163,4,9376.21,788.79,8.41%,6.05%,96.31,0.65
HOSI11,Híbrido,64.66,6.79%,8.56%,0.70,37079300,15691,0,0.00,0.00,0.00%,0.00%,64.66,0.44
HPDP11,Shoppings,80.95,6.45%,6.45%,0.85,235468000,5695,1,1833.78,130.73,7.13%,2.07%,80.95,0.45
HRDF11,Híbrido,1.10,-1.50%,0.00%,0.96,8345840,1288,0,0.00,0.00,0.00%,0.00%,1.1,5.4
HREC11,Títulos e Val. Mob.,94.50,9.77%,12.42%,1.04,440057000,13890,0,0.00,0.00,0.00%,0.00%,94.5,0.8
HSAF11,Títulos e Val. Mob.,84.68,9.89%,15.25%,0.90,150190000,396288,0,0.00,0.00,0.00%,0.00%,84.68,1
HSLG11,Logística,96.72,6.88%,7.71%,0.92,1224480000,629099,4,2852.69,238.66,8.37%,0.49%,96.72,0.69
HSML11,Shoppings,91.43,7.63%,7.62%,0.92,1442820000,3002860,6,8870.76,523.09,5.90%,5.13%,91.43,0.67
HSRE11,Híbrido,101.00,6.79%,7.05%,1.05,860324000,810876,27,8400.96,668.94,7.96%,0.00%,101,0.63
HTMX11,Hotel,115.98,0.69%,0.74%,0.88,145789000,295184,24,59.39,1.26,2.12%,0.00%,115.98,0.86
HUCG11,Hospital,102.90,1.49%,3.12%,1.01,115454000,2323,2,1098.62,0.00,0.00%,0.00%,102.9,0.82
HUSC11,Outros,110.50,8.18%,8.05%,0.77,87804700,8001,1,1188.26,130.78,11.01%,0.00%,110.5,0.96
HUSI11,Hospital,1071.00,0.01%,1.37%,1.08,124624000,22815,1,6121.99,7.92,0.13%,0.00%,1071,7.95
IBCR11,Títulos e Val. Mob.,91.15,12.16%,17.56%,0.96,87360300,253305,0,0.00,0.00,0.00%,0.00%,91.15,1.25
IBFF11,Títulos e Val. Mob.,66.40,8.28%,8.20%,0.93,44267600,93339,0,0.00,0.00,0.00%,0.00%,66.4,0.48
IDFI11,Híbrido,69.74,0.45%,68.12%,0.96,143520000,17576,111,0.00,0.00,0.00%,0.00%,69.74,0.91
IDGR11,Híbrido,81.79,6.85%,25.84%,0.94,72249900,272594,1,0.00,0.00,0.00%,0.00%,81.79,6.95
IRDM11,Títulos e Val. Mob.,101.95,10.22%,14.43%,1.07,3368890000,6886880,0,0.00,0.00,0.00%,0.00%,101.95,1.27
IRIM11,Híbrido,103.81,9.61%,16.26%,1.05,199315000,192961,0,0.00,0.00,0.00%,0.00%,103.81,1.16
ITIP11,Títulos e Val. Mob.,82.38,17.06%,9.54%,0.96,61632700,109670,0,0.00,0.00,0.00%,0.00%,82.38,0.94
ITIT11,Títulos e Val. Mob.,76.75,10.45%,5.71%,0.99,69112900,102649,0,0.00,0.00,0.00%,0.00%,76.75,0.54
JASC11,Outros,100.00,-0.28%,0.82%,0.86,182029000,36416,2,1633.47,0.00,0.00%,0.00%,100,0.83
JBFO11,Títulos e Val. Mob.,86.69,7.64%,7.74%,1.02,110883000,81,0,0.00,0.00,0.00%,0.00%,86.69,0.6
JFLL11,Residencial,73.20,15.71%,10.10%,0.73,109844000,130124,2,7412.41,1250.91,16.88%,39.05%,73.2,0.62
JGPX11,Híbrido,98.49,4.35%,5.85%,1.03,83529100,117319,0,0.00,0.00,0.00%,0.00%,98.49,1.2
JPPA11,Híbrido,106.49,10.14%,16.81%,1.06,64316100,558582,0,0.00,0.00,0.00%,0.00%,106.49,1.65
JPPC11,Híbrido,199.99,35.03%,9.14%,0.54,10999400,5,0,0.00,0.00,0.00%,0.00%,199.99,0.17
JRDM11,Shoppings,86.40,6.29%,6.78%,0.99,217984000,166037,1,7364.60,642.66,8.73%,3.19%,86.4,0.62
JSAF11,Títulos e Val. Mob.,88.90,5.21%,5.17%,0.93,139844000,331651,0,0.00,0.00,0.00%,0.00%,88.9,0.93
JSRE11,Híbrido,85.95,6.77%,7.07%,0.76,1784950000,3242480,6,15072.60,1184.71,7.86%,14.92%,85.95,0.49
KCRE11,Títulos e Val. Mob.,93.00,0.72%,4.08%,0.95,334800000,317278,0,0.00,0.00,0.00%,0.00%,93,1
KEVE11,Residencial,1020.00,1.15%,7.33%,1.06,150655000,23066,0,0.00,0.00,0.00%,0.00%,1020,12.93
KFOF11,Títulos e Val. Mob.,87.50,8.82%,8.69%,0.95,396665000,868056,0,0.00,0.00,0.00%,0.00%,87.5,0.7
KINP11,Residencial,15.00,-0.87%,35.23%,2.50,107219000,68423,1,0.00,0.00,0.00%,0.00%,15,0.21
KISU11,Títulos e Val. Mob.,8.34,10.18%,9.80%,0.95,368595000,950040,0,0.00,0.00,0.00%,0.00%,8.34,0.07
KIVO11,Títulos e Val. Mob.,99.95,6.81%,6.95%,1.00,35792100,12417,0,0.00,0.00,0.00%,0.00%,99.95,1.25
