df,train_score,test_score
allDataDf,1.00,0.77
allCorrDf,1.00,0.70
positiveCorrDf,0.95,0.52
negativeCorrDf,0.93,0.67
allDataDf,1.00,0.79
allCorrDf,1.00,0.66
positiveCorrDf,0.94,0.67
negativeCorrDf,0.93,0.67
allDataDf,1.00,0.66
allCorrDf,1.00,0.70
positiveCorrDf,0.95,0.62
negativeCorrDf,0.93,0.72
allDataDf,1.00,0.72
allCorrDf,1.00,0.67
positiveCorrDf,0.94,0.70
negativeCorrDf,0.93,0.70
allDataDf,1.00,0.84
allCorrDf,1.00,0.79
positiveCorrDf,0.94,0.64
negativeCorrDf,0.92,0.87
allDataDf,1.00,0.80
allCorrDf,1.00,0.79
positiveCorrDf,0.94,0.72
negativeCorrDf,0.92,0.74
allDataDf,1.00,0.74
allCorrDf,1.00,0.67
positiveCorrDf,0.94,0.74
negativeCorrDf,0.93,0.64
allDataDf,1.00,0.80
allCorrDf,1.00,0.70
positiveCorrDf,0.94,0.59
negativeCorrDf,0.93,0.70
allDataDf,1.00,0.77
allCorrDf,1.00,0.72
positiveCorrDf,0.95,0.66
negativeCorrDf,0.93,0.75
allDataDf,1.00,0.66
allCorrDf,1.00,0.70
positiveCorrDf,0.95,0.64
negativeCorrDf,0.93,0.79
allDataDf,1.00,0.74
allCorrDf,1.00,0.67
positiveCorrDf,0.94,0.67
negativeCorrDf,0.93,0.77
allDataDf,1.00,0.79
allCorrDf,1.00,0.79
positiveCorrDf,0.96,0.62
negativeCorrDf,0.92,0.79
allDataDf,1.00,0.87
allCorrDf,1.00,0.75
positiveCorrDf,0.95,0.62
negativeCorrDf,0.91,0.77
allDataDf,1.00,0.85
allCorrDf,1.00,0.74
positiveCorrDf,0.94,0.75
negativeCorrDf,0.92,0.82
allDataDf,1.00,0.70
allCorrDf,1.00,0.80
positiveCorrDf,0.95,0.66
negativeCorrDf,0.93,0.75
allDataDf,1.00,0.72
allCorrDf,1.00,0.67
positiveCorrDf,0.94,0.72
negativeCorrDf,0.94,0.52
allDataDf,1.00,0.89
allCorrDf,1.00,0.82
positiveCorrDf,0.93,0.79
negativeCorrDf,0.92,0.82
allDataDf,1.00,0.62
allCorrDf,1.00,0.69
positiveCorrDf,0.94,0.62
negativeCorrDf,0.93,0.75
allDataDf,1.00,0.84
allCorrDf,1.00,0.75
positiveCorrDf,0.94,0.64
negativeCorrDf,0.93,0.69
allDataDf,1.00,0.75
allCorrDf,1.00,0.74
positiveCorrDf,0.96,0.59
negativeCorrDf,0.93,0.70
allDataDf,1.00,0.70
allCorrDf,1.00,0.72
positiveCorrDf,0.94,0.74
negativeCorrDf,0.92,0.69
allDataDf,1.00,0.72
allCorrDf,1.00,0.79
positiveCorrDf,0.94,0.75
negativeCorrDf,0.93,0.80
allDataDf,1.00,0.72
allCorrDf,1.00,0.75
positiveCorrDf,0.95,0.67
negativeCorrDf,0.93,0.77
allDataDf,1.00,0.82
allCorrDf,1.00,0.79
positiveCorrDf,0.93,0.75
negativeCorrDf,0.94,0.72
allDataDf,1.00,0.82
allCorrDf,1.00,0.77
positiveCorrDf,0.94,0.66
negativeCorrDf,0.93,0.75
allDataDf,1.00,0.72
allCorrDf,1.00,0.77
positiveCorrDf,0.94,0.69
negativeCorrDf,0.92,0.67
allDataDf,1.00,0.82
allCorrDf,1.00,0.77
positiveCorrDf,0.95,0.64
negativeCorrDf,0.92,0.70
allDataDf,1.00,0.75
allCorrDf,1.00,0.75
positiveCorrDf,0.93,0.72
negativeCorrDf,0.93,0.75
allDataDf,1.00,0.84
allCorrDf,1.00,0.80
positiveCorrDf,0.94,0.82
negativeCorrDf,0.92,0.75
allDataDf,1.00,0.79
allCorrDf,1.00,0.74
positiveCorrDf,0.93,0.74
negativeCorrDf,0.93,0.77
allDataDf,1.00,0.74
allCorrDf,1.00,0.74
positiveCorrDf,0.94,0.64
negativeCorrDf,0.91,0.72
allDataDf,1.00,0.66
allCorrDf,1.00,0.74
positiveCorrDf,0.94,0.61
negativeCorrDf,0.91,0.82
allDataDf,1.00,0.87
allCorrDf,1.00,0.82
positiveCorrDf,0.95,0.62
negativeCorrDf,0.93,0.74
allDataDf,1.00,0.74
allCorrDf,1.00,0.79
positiveCorrDf,0.94,0.74
negativeCorrDf,0.92,0.77
allDataDf,1.00,0.77
allCorrDf,1.00,0.77
positiveCorrDf,0.95,0.64
negativeCorrDf,0.94,0.72
allDataDf,1.00,0.82
allCorrDf,1.00,0.82
positiveCorrDf,0.94,0.70
negativeCorrDf,0.92,0.80
allDataDf,1.00,0.74
allCorrDf,1.00,0.79
positiveCorrDf,0.95,0.69
negativeCorrDf,0.92,0.64
allDataDf,1.00,0.75
allCorrDf,1.00,0.80
positiveCorrDf,0.94,0.70
negativeCorrDf,0.93,0.74
allDataDf,1.00,0.70
allCorrDf,1.00,0.79
positiveCorrDf,0.93,0.77
negativeCorrDf,0.93,0.77
allDataDf,1.00,0.72
allCorrDf,1.00,0.77
positiveCorrDf,0.95,0.66
negativeCorrDf,0.93,0.74
allDataDf,1.00,0.75
allCorrDf,1.00,0.70
positiveCorrDf,0.95,0.66
negativeCorrDf,0.92,0.74
allDataDf,1.00,0.70
allCorrDf,1.00,0.62
positiveCorrDf,0.94,0.75
negativeCorrDf,0.94,0.62
allDataDf,1.00,0.69
allCorrDf,1.00,0.80
positiveCorrDf,0.94,0.62
negativeCorrDf,0.92,0.77
allDataDf,1.00,0.80
allCorrDf,1.00,0.77
positiveCorrDf,0.94,0.69
negativeCorrDf,0.93,0.80
allDataDf,1.00,0.79
allCorrDf,1.00,0.77
positiveCorrDf,0.94,0.70
negativeCorrDf,0.93,0.72
allDataDf,1.00,0.72
allCorrDf,1.00,0.66
positiveCorrDf,0.94,0.79
negativeCorrDf,0.92,0.80
allDataDf,1.00,0.75
allCorrDf,1.00,0.72
positiveCorrDf,0.95,0.56
negativeCorrDf,0.94,0.67
allDataDf,1.00,0.69
allCorrDf,1.00,0.77
positiveCorrDf,0.95,0.74
negativeCorrDf,0.93,0.74
allDataDf,1.00,0.70
allCorrDf,1.00,0.74
positiveCorrDf,0.93,0.70
negativeCorrDf,0.92,0.70
allDataDf,1.00,0.72
allCorrDf,1.00,0.77
positiveCorrDf,0.94,0.75
negativeCorrDf,0.93,0.64
allDataDf,1.00,0.72
allCorrDf,1.00,0.67
positiveCorrDf,0.94,0.69
negativeCorrDf,0.93,0.69
allDataDf,1.00,0.70
allCorrDf,1.00,0.84
positiveCorrDf,0.93,0.74
negativeCorrDf,0.92,0.82
allDataDf,1.00,0.84
allCorrDf,1.00,0.74
positiveCorrDf,0.95,0.64
negativeCorrDf,0.92,0.79
allDataDf,1.00,0.69
allCorrDf,1.00,0.72
positiveCorrDf,0.95,0.57
negativeCorrDf,0.93,0.70
allDataDf,1.00,0.79
allCorrDf,1.00,0.80
positiveCorrDf,0.94,0.74
negativeCorrDf,0.91,0.80
allDataDf,1.00,0.74
allCorrDf,1.00,0.72
positiveCorrDf,0.93,0.69
negativeCorrDf,0.91,0.72
allDataDf,1.00,0.69
allCorrDf,1.00,0.67
positiveCorrDf,0.94,0.64
negativeCorrDf,0.93,0.70
allDataDf,1.00,0.67
allCorrDf,1.00,0.80
positiveCorrDf,0.94,0.70
negativeCorrDf,0.93,0.79
allDataDf,1.00,0.66
allCorrDf,1.00,0.69
positiveCorrDf,0.93,0.79
negativeCorrDf,0.93,0.74
allDataDf,1.00,0.70
allCorrDf,1.00,0.79
positiveCorrDf,0.94,0.70
negativeCorrDf,0.94,0.70
allDataDf,1.00,0.85
allCorrDf,1.00,0.82
positiveCorrDf,0.93,0.84
negativeCorrDf,0.93,0.72
allDataDf,1.00,0.79
allCorrDf,1.00,0.79
positiveCorrDf,0.93,0.75
negativeCorrDf,0.91,0.74
allDataDf,1.00,0.66
allCorrDf,1.00,0.67
positiveCorrDf,0.94,0.75
negativeCorrDf,0.92,0.67
allDataDf,1.00,0.82
allCorrDf,1.00,0.79
positiveCorrDf,0.93,0.69
negativeCorrDf,0.92,0.77
allDataDf,1.00,0.85
allCorrDf,1.00,0.82
positiveCorrDf,0.93,0.74
negativeCorrDf,0.93,0.75
allDataDf,1.00,0.77
allCorrDf,1.00,0.90
positiveCorrDf,0.95,0.70
negativeCorrDf,0.92,0.82
allDataDf,1.00,0.87
allCorrDf,1.00,0.74
positiveCorrDf,0.93,0.74
negativeCorrDf,0.92,0.74
allDataDf,1.00,0.74
allCorrDf,1.00,0.72
positiveCorrDf,0.95,0.61
negativeCorrDf,0.93,0.74
allDataDf,1.00,0.84
allCorrDf,1.00,0.79
positiveCorrDf,0.94,0.66
negativeCorrDf,0.93,0.84
allDataDf,1.00,0.72
allCorrDf,1.00,0.72
positiveCorrDf,0.95,0.67
negativeCorrDf,0.94,0.70
allDataDf,1.00,0.74
allCorrDf,1.00,0.74
positiveCorrDf,0.97,0.57
negativeCorrDf,0.93,0.79
allDataDf,1.00,0.70
allCorrDf,1.00,0.82
positiveCorrDf,0.94,0.72
negativeCorrDf,0.93,0.69
allDataDf,1.00,0.74
allCorrDf,1.00,0.70
positiveCorrDf,0.95,0.67
negativeCorrDf,0.93,0.72
allDataDf,1.00,0.77
allCorrDf,1.00,0.80
positiveCorrDf,0.93,0.72
negativeCorrDf,0.92,0.69
allDataDf,1.00,0.75
allCorrDf,1.00,0.80
positiveCorrDf,0.93,0.82
negativeCorrDf,0.92,0.66
allDataDf,1.00,0.69
allCorrDf,1.00,0.79
positiveCorrDf,0.95,0.64
negativeCorrDf,0.93,0.74
allDataDf,1.00,0.74
allCorrDf,1.00,0.75
positiveCorrDf,0.95,0.64
negativeCorrDf,0.93,0.74
allDataDf,1.00,0.80
allCorrDf,1.00,0.79
positiveCorrDf,0.95,0.67
negativeCorrDf,0.93,0.74
allDataDf,1.00,0.84
allCorrDf,1.00,0.84
positiveCorrDf,0.95,0.70
negativeCorrDf,0.90,0.82
allDataDf,1.00,0.75
allCorrDf,1.00,0.80
positiveCorrDf,0.95,0.64
negativeCorrDf,0.91,0.82
allDataDf,1.00,0.79
allCorrDf,1.00,0.72
positiveCorrDf,0.96,0.62
negativeCorrDf,0.94,0.67
allDataDf,1.00,0.70
allCorrDf,1.00,0.69
positiveCorrDf,0.95,0.61
negativeCorrDf,0.91,0.75
allDataDf,1.00,0.77
allCorrDf,1.00,0.80
positiveCorrDf,0.94,0.72
negativeCorrDf,0.92,0.69
allDataDf,1.00,0.80
allCorrDf,1.00,0.77
positiveCorrDf,0.95,0.64
negativeCorrDf,0.92,0.67
allDataDf,1.00,0.80
allCorrDf,1.00,0.72
positiveCorrDf,0.95,0.67
negativeCorrDf,0.93,0.75
allDataDf,1.00,0.74
allCorrDf,1.00,0.80
positiveCorrDf,0.93,0.77
negativeCorrDf,0.93,0.74
allDataDf,1.00,0.82
allCorrDf,1.00,0.77
positiveCorrDf,0.93,0.70
negativeCorrDf,0.91,0.80
allDataDf,1.00,0.77
allCorrDf,1.00,0.82
positiveCorrDf,0.94,0.75
negativeCorrDf,0.93,0.79
allDataDf,1.00,0.67
allCorrDf,1.00,0.70
positiveCorrDf,0.93,0.70
negativeCorrDf,0.94,0.69
allDataDf,1.00,0.82
allCorrDf,1.00,0.74
positiveCorrDf,0.93,0.74
negativeCorrDf,0.92,0.79
allDataDf,1.00,0.79
allCorrDf,1.00,0.75
positiveCorrDf,0.93,0.66
negativeCorrDf,0.92,0.79
allDataDf,1.00,0.79
allCorrDf,1.00,0.75
positiveCorrDf,0.93,0.70
negativeCorrDf,0.92,0.74
allDataDf,1.00,0.70
allCorrDf,1.00,0.79
positiveCorrDf,0.95,0.70
negativeCorrDf,0.92,0.75
allDataDf,1.00,0.75
allCorrDf,1.00,0.77
positiveCorrDf,0.95,0.66
negativeCorrDf,0.93,0.80
allDataDf,1.00,0.77
allCorrDf,1.00,0.77
positiveCorrDf,0.93,0.69
negativeCorrDf,0.92,0.77
allDataDf,1.00,0.79
allCorrDf,1.00,0.87
positiveCorrDf,0.94,0.75
negativeCorrDf,0.92,0.72
allDataDf,1.00,0.75
allCorrDf,1.00,0.70
positiveCorrDf,0.95,0.64
negativeCorrDf,0.94,0.70
allDataDf,1.00,0.80
allCorrDf,1.00,0.89
positiveCorrDf,0.93,0.70
negativeCorrDf,0.92,0.82
allDataDf,1.00,0.79
allCorrDf,1.00,0.75
positiveCorrDf,0.93,0.72
negativeCorrDf,0.92,0.79
allDataDf,1.00,0.70
allCorrDf,1.00,0.82
positiveCorrDf,0.95,0.64
negativeCorrDf,0.92,0.74
